         10624935 function calls (9814326 primitive calls) in 9.771 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       36    0.000    0.000    0.004    0.000 __init__.py:1494(_add_data_doc)
      281    0.000    0.000    0.000    0.000 function_base.py:428(_needs_add_docstring)
       16    0.000    0.000    0.144    0.009 __init__.py:1(<module>)
      313    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
        3    0.000    0.000    0.000    0.000 contextlib.py:71(inner)
      467    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
       99    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
       19    0.000    0.000    0.004    0.000 rcsetup.py:879(validate_cycler)
        1    0.000    0.000    0.002    0.002 core.py:21(<module>)
     1184    0.000    0.000    0.000    0.000 posixpath.py:41(_get_sep)
      136    0.000    0.000    0.000    0.000 posixpath.py:75(join)
  263/261    0.000    0.000    0.000    0.000 pyparsing.py:554(__init__)
     2511    0.000    0.000    0.000    0.000 inspect.py:2521(default)
        1    0.000    0.000    0.002    0.002 tokenize.py:21(<module>)
      616    0.000    0.000    0.000    0.000 _inspect.py:28(isfunction)
      374    0.000    0.000    0.000    0.000 typing.py:704(__setattr__)
       67    0.000    0.000    0.001    0.000 pyparsing.py:3995(__init__)
      179    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      189    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
       24    0.000    0.000    0.001    0.000 traceback.py:318(extract)
      410    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
       52    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
     1622    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      604    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(find_spec)
       54    0.000    0.000    0.001    0.000 __init__.py:891(_open_file_or_url)
      612    0.000    0.000    0.000    0.000 _inspect.py:43(iscode)
        1    0.000    0.000    0.010    0.010 _axes.py:97(Axes)
     2164    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
      281    0.000    0.000    0.001    0.000 function_base.py:446(_add_docstring)
    97/82    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1048(exec_module)
      708    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        1    0.000    0.000    0.016    0.016 pyparsing.py:96(<module>)
      111    0.000    0.000    0.003    0.000 rcsetup.py:90(<listcomp>)
        1    0.000    0.000    0.007    0.007 defchararray.py:17(<module>)
        6    0.000    0.000    0.000    0.000 numeric.py:2388(extend_all)
      152    0.000    0.000    0.000    0.000 sre_parse.py:408(_uniq)
        1    0.000    0.000    0.022    0.022 multiarray.py:7(<module>)
        1    0.000    0.000    0.023    0.023 rcsetup.py:15(<module>)
        1    0.000    0.000    0.007    0.007 fromnumeric.py:3(<module>)
      738    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
       12    0.000    0.000    0.000    0.000 datetime.py:473(__new__)
        1    0.000    0.000    0.004    0.004 codata.py:51(<module>)
      362    0.000    0.000    0.000    0.000 rcsetup.py:118(validate_bool)
       52    0.000    0.000    0.000    0.000 core.py:900(__init__)
        6    0.000    0.000    0.002    0.000 patches.py:1872(_pprint_styles)
        1    0.000    0.000    0.000    0.000 _color_data.py:992(<dictcomp>)
      149    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
      669    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
        1    0.000    0.000    0.003    0.003 numerictypes.py:81(<module>)
      376    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
    51/19    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
     72/4    0.000    0.000    0.001    0.000 pyparsing.py:1829(_parseCache)
      358    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
      152    0.000    0.000    0.000    0.000 {built-in method fromkeys}
       52    0.000    0.000    0.001    0.000 typing.py:603(__init__)
       60    0.000    0.000    0.000    0.000 cm.py:60(<listcomp>)
      745    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
      140    0.000    0.000    0.000    0.000 _internal.py:784(_ufunc_doc_signature_formatter)
     1307    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      150    0.000    0.000    0.008    0.000 cm.py:81(_generate_cmap)
       10    0.000    0.000    0.002    0.000 pyparsing.py:3124(__init__)
     33/5    0.000    0.000    0.001    0.000 pyparsing.py:3912(streamline)
        1    0.000    0.000    0.003    0.003 mathtext.py:2838(<listcomp>)
       67    0.000    0.000    0.000    0.000 pyparsing.py:4425(__init__)
